Session campaign,Session source,Session medium,Session manual ad content,Total users,Engagement rate,Average session duration,Total users,Engagement rate,Average session duration
wiwn,spotify,video1x1,(not set),1336,0.6431095406360424,269.35285134699643,1336,0.6431095406360424,269.35285134699643
wiwn,spotify,video9x16,(not set),1330,0.6753059755219583,271.3466538149748,1330,0.6753059755219583,271.3466538149748
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,google,cpc,(not set),1318,0.26115581565471835,94.09135791880028,1318,0.26115581565471835,94.09135791880028
sxsw,instagram,video,6714297876535,1229,0.10897435897435898,72.46882928044872,1229,0.10897435897435898,72.46882928044872
sxsw,linkedin,video,(not set),1121,0.35708566853482787,59.023968346677336,1121,0.35708566853482787,59.023968346677336
sxsw,instagram,video,6714297876735,1116,0.1066079295154185,46.446948577973565,1116,0.1066079295154185,46.446948577973565
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,google,cpc,ep8,1080,0.49193548387096775,75.02310325179212,1080,0.49193548387096775,75.02310325179212
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,google,cpc,ep13,1032,0.348013816925734,71.97104283333333,1032,0.348013816925734,71.97104283333333
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,google,cpc,(not set),1012,0.3251184834123223,125.5774797127962,1012,0.3251184834123223,125.5774797127962
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,google,cpc,ep14,898,0.31599607458292445,75.49393953974484,898,0.31599607458292445,75.49393953974484
sxsw,instagram,video,6714297877335,881,0.08671171171171171,62.65416616666667,881,0.08671171171171171,62.65416616666667
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,google,cpc,ep15,818,0.30700778642936594,51.67609439043381,818,0.30700778642936594,51.67609439043381
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,google,cpc,ep12,795,0.33370165745856356,104.44339129392264,795,0.33370165745856356,104.44339129392264
UCM - DOT Conference (Display) - 8.15-8.30,google,cpc,(not set),707,0.34474017743979724,55.62639834980989,707,0.34474017743979724,55.62639834980989
wiwn,paramount,ott,(not set),701,0.5100896860986547,172.0695851939462,701,0.5100896860986547,172.0695851939462
(not set),(not set),(not set),(not set),686,0,265.2882887553957,686,0,265.2882887553957
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,google,cpc,(not set),576,0.2835570469798658,79.80959715939598,576,0.2835570469798658,79.80959715939598
nvidia,linkedin,video,(not set),556,0.24960998439937598,124.51205084867395,556,0.24960998439937598,124.51205084867395
wiwn,wired,social,(not set),480,0.16598360655737704,35.08691845901639,480,0.16598360655737704,35.08691845901639
wiwn,che,display,(not set),429,0.3269230769230769,188.5423760405983,429,0.3269230769230769,188.5423760405983
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,google,cpc,(not set),384,0.31265508684863524,58.71704386848636,384,0.31265508684863524,58.71704386848636
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,google,cpc,ep7,372,0.4753694581280788,41.308467029556645,372,0.4753694581280788,41.308467029556645
aihealth,che,email,(not set),255,0.4521072796934866,17.522221647509575,255,0.4521072796934866,17.522221647509575
research-impact,che,display,general_ble,247,0.1875,28.9857673515625,247,0.1875,28.9857673515625
logo,spotify,audio,(not set),160,0.7125748502994012,286.0456840598803,160,0.7125748502994012,286.0456840598803
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,google,cpc,(not set),144,0.28846153846153844,24.89883010897436,144,0.28846153846153844,24.89883010897436
research-impact,li,video,general_cmu,138,0.22695035460992907,76.42130019148937,138,0.22695035460992907,76.42130019148937
wiwn,che,email,(not set),134,0.436241610738255,698.5487675704699,134,0.436241610738255,698.5487675704699
ottctv,effectv,video,(not set),117,0.35074626865671643,38.955243208955224,117,0.35074626865671643,38.955243208955224
research-impact,email,2025-05-08Piper,(not set),108,0.6681818181818182,395.63470662272726,108,0.6681818181818182,395.63470662272726
UCM - Anthem Campaign (Awareness) - 12.20.2023 - 7.31.2024,google,cpc,(not set),86,0.7625,120.52127924375,86,0.7625,120.52127924375
aihealth,nyt,adpost,(not set),74,0.7058823529411765,797.5799471617647,74,0.7058823529411765,797.5799471617647
dot,gdn,display,(not set),73,0.5064935064935064,126.92511072727272,73,0.5064935064935064,126.92511072727272
research-impact,inc,display,general_ble,68,0.4888888888888889,316.75635302222224,68,0.4888888888888889,316.75635302222224
wiwn,nyt,print,(not set),60,0.5806451612903226,175.9814457419355,60,0.5806451612903226,175.9814457419355
nvidia,google,video,(not set),54,0.2962962962962963,10.2301785,54,0.2962962962962963,10.2301785
podcast,gdn,storykit,ep12,52,0.2692307692307692,22.473846423076925,52,0.2692307692307692,22.473846423076925
aihorizons,gdn,display,(not set),50,0.06,3.48656798,50,0.06,3.48656798
wiwn,che,evfcybl,(not set),50,0.28,12.660440020000001,50,0.28,12.660440020000001
podcast,gdn,storykit,ep15,43,0.13953488372093023,15.072237186046511,43,0.13953488372093023,15.072237186046511
podcast,gdn,storykit,ep14,42,0.09523809523809523,7.877323523809523,42,0.09523809523809523,7.877323523809523
wiwn,che,newsletter,health,42,0.4222222222222222,78.53255993333333,42,0.4222222222222222,78.53255993333333
podcast,gdn,storykit,ep13,35,0.2,15.550242314285713,35,0.2,15.550242314285713
wiwn,che,print,(not set),34,0.4606741573033708,487.28178516853933,34,0.4606741573033708,487.28178516853933
ottctv,effectv,video,kathleencarley,31,0.42424242424242425,175.35906403030302,31,0.42424242424242425,175.35906403030302
podcast,google,cpc,ep6,24,0.19230769230769232,10.517661115384616,24,0.19230769230769232,10.517661115384616
podcast,gdn,storykit,ep10,23,0.6521739130434783,39.8699417826087,23,0.6521739130434783,39.8699417826087
podcast,gdn,storykit,ep11,23,0.4782608695652174,35.277492173913046,23,0.4782608695652174,35.277492173913046
wiwn,inc,print,arm,22,0.4666666666666667,135.03798623333333,22,0.4666666666666667,135.03798623333333
aihorizons,gdn,video,(not set),21,0.19047619047619047,8.597571142857143,21,0.19047619047619047,8.597571142857143
dot,gdn,video,(not set),21,0.5714285714285714,31.248375666666664,21,0.5714285714285714,31.248375666666664
sxsw,instagram,video,(not set),20,0.9,26.2417328,20,0.9,26.2417328
podcast,gdn,storykit,ep8,18,0.42105263157894735,39.720462473684215,18,0.42105263157894735,39.720462473684215
ottctv,effectv,video,rkrishnan,16,0.25,751.6062931875,16,0.25,751.6062931875
podcast,gdn,storykit,ep9,16,0.3125,8.5270898125,16,0.3125,8.5270898125
sxsw,instagram,video,6714300624335,15,0.06666666666666667,4.9943425999999995,15,0.06666666666666667,4.9943425999999995
Send Update with Logo,sendupdatelogo,email,(not set),14,0.26666666666666666,36.22654893333333,14,0.26666666666666666,36.22654893333333
sxsw,instagram,video,6714301533335,13,0.07692307692307693,4.208828461538461,13,0.07692307692307693,4.208828461538461
podcast,gdn,storykit,ep7,12,0.4166666666666667,23.768156333333334,12,0.4166666666666667,23.768156333333334
wiwn,chr,print,health,11,0.4166666666666667,177.23137879166666,11,0.4166666666666667,177.23137879166666
podcast,print,inc,incprint,10,0.6923076923076923,648.8418143076923,10,0.6923076923076923,648.8418143076923
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,google,cpc,ep5,9,0.6666666666666666,148.72040638888888,9,0.6666666666666666,148.72040638888888
wiwn,pghmag,print,(not set),8,0.7272727272727273,194.50041209090907,8,0.7272727272727273,194.50041209090907
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,google,cpc,ep6,7,0.375,16.13129675,7,0.375,16.13129675
wiwn,che,email,email,7,0.42857142857142855,1251.373728,7,0.42857142857142855,1251.373728
sxsw,google,cpc,rayidghanirt,6,0.6666666666666666,24.488591333333332,6,0.6666666666666666,24.488591333333332
wiwn,che,afjfyfggfe,ufbygu,6,0.3333333333333333,11.088189,6,0.3333333333333333,11.088189
(referral),open.spotify.com,referral,(not set),5,0.7,692.4102868,5,0.7,692.4102868
bridges,google,cpc,eptwo,5,0.3333333333333333,15.360547833333333,5,0.3333333333333333,15.360547833333333
podcast,google,cpc,ep4,5,0,5.0366836,5,0,5.0366836
podcast,linkedin,storykit,ep7,5,0.2,4.7780448,5,0.2,4.7780448
podpromo,che,display,epthree,5,0.2857142857142857,6.926492857142857,5,0.2857142857142857,6.926492857142857
sxsw,instagram,video,6714301719535,5,0,1.4405424,5,0,1.4405424
Wiwn,Che,Podcast,Epfive,4,0.8,306.9834114,4,0.8,306.9834114
wiwn,cheb,display,(not set),4,0.75,440.2295695,4,0.75,440.2295695
polybag,che,print,polybag,3,0.2,5.560825200000001,3,0.2,5.560825200000001
sxsw,google,cpc,anthemrt,3,1,49.764204666666664,3,1,49.764204666666664
sxsw,google,cpc,rayidghani,2,1,34.4611,2,1,34.4611
(referral),spotify.lightning.force.com,referral,(not set),1,1,1283.654384,1,1,1283.654384
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,google,cpc,eptwo,1,0.5,7.9367375000000004,1,0.5,7.9367375000000004
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,google,cpc,ep4,1,0,4.699558,1,0,4.699558
podcast,google,cpc,ep5,1,1,13.982859,1,1,13.982859
podpromo,che,newsletter,mic,1,0,8.324967,1,0,8.324967
research-impact,bs,post,adrai_ob1,1,1,1526.735692,1,1,1526.735692
research-impact,piper,email,general_cmu,1,1,808.79554175,1,1,808.79554175
sxsw,eltoro,expert,rayidghani,1,0,5.393174,1,0,5.393174
sxsw,gdn,video,rayidghani,1,1,1640.61351,1,1,1640.61351
sxsw,google,cpc,anthem,1,0,2.230113,1,0,2.230113
wiwn,che,fullpage,fullpage,1,1,1689.836267,1,1,1689.836267
wiwn,che,podpromo,(not set),1,0.5,97.336147,1,0.5,97.336147
wiwn,chea,display,(not set),1,0,4.858491,1,0,4.858491
wiwn,spotify,video,(not set),1,0,2.254184,1,0,2.254184

