Session campaign,Segment,Total users_Day0,Total users_Day1,Total users_Day2,Total users_Day3,Total users_Day4,Total users_Day5,Total users_Day6,Total users_Day7,Total users_Day8,Total users_Day9,Total users_Day10,Total users_Day11,Total users_Day12,Total users_Day13,Total users_Day14,Total users_Day15,Total users_Day16,Total users_Day17,Total users_Day18,Total users_Day19,Total users_Day20,Total users_Day21,Total users_Day22,Total users_Day23,Total users_Day24,Total users_Day25,Total users_Day26,Total users_Day27,Total users_Day28,Total users_Day29,Total users_Day30,Total users_Day31,Total users_Day32,Total users_Day33,Total users_Day34,Total users_Day35,Total users_Day36,Total users_Day37,Total users_Day38,Total users_Day39,Total users_Day40,Total users_Day41,Total users_Day42,Total users_Day43,Total users_Day44,Total users_Day45,Total users_Day46,Total users_Day47,Total users_Day48,Total users_Day49,Total users_Day50,Total users_Day51,Total users_Day52,Total users_Day53,Total users_Day54,Total users_Day55,Total users_Day56,Total users_Day57,Total users_Day58,Total users_Day59,Total users_Day60,Total users_Day61,Total users_Day62,Total users_Day63,Total users_Day64,Total users_Day65,Total users_Day66,Total users_Day67,Total users_Day68,Total users_Day69,Total users_Day70,Total users_Day71,Total users_Day72,Total users_Day73,Total users_Day74,Total users_Day75,Total users_Day76,Total users_Day77,Total users_Day78,Total users_Day79,Total users_Day80,Total users_Day81,Total users_Day82,Total users_Day83,Total users_Day84,Total users_Day85,Total users_Day86,Total users_Day87,Total users_Day88,Total users_Day89,Total users_Day90,Total users_Day91,Total users_Day92,Total users_Day93,Total users_Day94,Total users_Day95,Total users_Day96,Total users_Day97,Total users_Day98,Total users_Day99,Total users_Day100,Total users_Day101,Total users_Day102,Total users_Day103,Total users_Day104,Total users_Day105,Total users_Day106,Total users_Day107,Total users_Day108,Total users_Day109,Total users_Day110,Total users_Day111,Total users_Day112,Total users_Day113,Total users_Day114,Total users_Day115,Total users_Day116,Total users_Day117,Total users_Day118,Total users_Day119,Total users_Day120,Total users_Day121,Total users_Day122,Total users_Day123,Total users_Day124,Total users_Day125,Total users_Day126,Total users_Day127,Total users_Day128,Total users_Day129,Total users_Day130,Total users_Day131,Total users_Day132,Total users_Day133,Total users_Day134,Total users_Day135,Total users_Day136,Total users_Day137,Total users_Day138,Total users_Day139,Total users_Day140,Total users_Day141,Total users_Day142,Total users_Day143,Total users_Day144,Total users_Day145,Total users_Day146,Total users_Day147,Total users_Day148,Total users_Day149,Total users_Day150,Total users_Day151,Total users_Day152,Total users_Day153,Total users_Day154,Total users_Day155,Total users_Day156,Total users_Day157,Total users_Day158,Total users_Day159,Total users_Day160,Total users_Day161,Total users_Day162,Total users_Day163,Total users_Day164,Total users_Day165,Total users_Day166,Total users_Day167,Total users_Day168,Total users_Day169,Total users_Day170,Total users_Day171,Total users_Day172,Total users_Day173,Total users_Day174,Total users_Day175,Total users_Day176,Total users_Day177,Total users_Day178,Total users_Day179,Total users_Day180,Total users_Day181,Total users_Day182,Total users_Day183,Total users_Day184,Total users_Day185,Total users_Day186,Total users_Day187,Total users_Day188,Total users_Day189,Total users_Day190,Total users_Day191,Total users_Day192,Total users_Day193,Total users_Day194,Total users_Day195,Total users_Day196,Total users_Day197,Total users_Day198,Total users_Day199,Total users_Day200,Total users_Day201,Total users_Day202,Total users_Day203,Total users_Day204,Total users_Day205,Total users_Day206,Total users_Day207,Total users_Day208,Total users_Day209,Total users_Day210,Total users_Day211,Total users_Day212,Total users_Day213,Total users_Day214,Total users_Day215,Total users_Day216,Total users_Day217,Total users_Day218,Total users_Day219,Total users_Day220,Total users_Day221,Total users_Day222,Total users_Day223,Total users_Day224,Total users_Day225,Total users_Day226,Total users_Day227,Total users_Day228,Total users_Day229,Total users_Day230,Total users_Day231,Total users_Day232,Total users_Day233,Total users_Day234,Total users_Day235,Total users_Day236,Total users_Day237,Total users_Day238,Total users_Day239,Total users_Day240,Total users_Day241,Total users_Day242,Total users_Day243,Total users_Day244,Total users_Day245,Total users_Day246,Total users_Day247,Total users_Day248,Total users_Day249,Total users_Day250,Total users_Day251,Total users_Day252,Total users_Day253,Total users_Day254,Total users_Day255,Total users_Day256,Total users_Day257,Total users_Day258,Total users_Day259,Total users_Day260,Total users_Day261,Total users_Day262,Total users_Day263,Total users_Day264,Total users_Day265,Total users_Day266,Total users_Day267,Total users_Day268,Total users_Day269,Total users_Day270,Total users_Day271,Total users_Day272,Total users_Day273,Total users_Day274,Total users_Day275,Total users_Day276,Total users_Day277,Total users_Day278,Total users_Day279,Total users_Day280,Total users_Day281,Total users_Day282,Total users_Day283,Total users_Day284,Total users_Day285,Total users_Day286,Total users_Day287,Total users_Day288,Total users_Day289,Total users_Day290,Total users_Day291,Total users_Day292,Total users_Day293,Total users_Day294,Total users_Day295,Total users_Day296,Total users_Day297,Total users_Day298,Total users_Day299,Total users_Day300,Total users_Day301,Total users_Day302,Total users_Day303,Total users_Day304,Total users_Day305,Total users_Day306,Total users_Day307,Total users_Day308,Total users_Day309,Total users_Day310,Total users_Day311,Total users_Day312,Total users_Day313,Total users_Day314,Total users_Day315,Total users_Day316,Total users_Day317,Total users_Day318,Total users_Day319,Total users_Day320,Total users_Day321,Total users_Day322,Total users_Day323,Total users_Day324,Total users_Day325,Total users_Day326,Total users_Day327,Total users_Day328,Total users_Day329,Total users_Day330,Total users_Day331,Total users_Day332,Total users_Day333,Total users_Day334,Total users_Day335,Total users_Day336,Total users_Day337,Total users_Day338,Total users_Day339,Total users_Day340,Total users_Day341,Total users_Day342,Total users_Day343,Total users_Day344,Total users_Day345,Total users_Day346,Total users_Day347,Total users_Day348,Total users_Day349,Total users_Day350,Total users_Day351,Total users_Day352,Total users_Day353,Total users_Day354,Total users_Day355,Total users_Day356,Total users_Day357,Total users_Day358,Total users_Day359,Total users_Day360,Total users_Day361,Total users_Day362,Total users_Day363,Total users_Day364
UCM - Podcast - S2 E1 - Healing Intelligence Pt. 1 - 4.1-5.1,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,168,210,264,294,204,234,330,330,312,396,564,420,300,534,132,366,720,588,876,1164,912,1008,1008,1080,1188,456,654,342,348,1602,12,12,12,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0
aihorizons,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2069,3095,3317,3239,3491,270,72,66,24,6,18,18,24,0,18,12,6,6,6,0,6,12,6,12,12,6,12,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - SXSW - 3.7.2025 - 3.14.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,138,2783,4397,4229,3911,120,18,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,126,240,462,366,384,408,498,366,348,264,294,336,264,396,390,378,306,456,342,330,234,162,234,240,186,162,432,444,252,372,384,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast - S2 E3 - What’s Next for Theater Arts - 4.29-5.29,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,324,354,684,780,426,504,300,366,348,354,318,306,390,258,252,228,174,276,198,366,294,162,324,294,204,288,348,300,372,282,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
UCM - NVIDIA Conference - 3.18.2025 - 3.22.2025,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,1728,1883,2009,2195,96,24,6,0,12,6,0,6,0,6,12,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast - S2 E6 - Game Theory Pt. 2 - 6.5-7.5,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,372,732,906,768,522,222,264,204,168,222,132,96,156,114,144,90,138,120,372,300,288,360,264,258,258
UCM - Podcast - S2 E5 - Game Theory Pt. 1 - 5.22 - 6.22,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,156,216,204,174,162,288,198,240,252,306,210,156,258,234,282,306,204,204,210,216,180,252,306,288,222,174,258,276,288,234,228,18,0,0,0,0,0,0,0
UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,342,672,582,702,792,846,978,558,762,684
UCM - Podcast - S2 E2 - Healing Intelligence Pt. 2 - 4.10-5.10,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,270,366,342,318,120,120,240,348,174,258,186,138,132,252,150,186,204,186,192,132,246,180,84,252,102,150,192,156,108,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sxsw,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,666,558,732,546,462,660,6,6,12,18,6,6,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
research-impact,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,18,6,0,12,6,12,6,78,60,150,156,84,192,78,30,84,54,102,54,78,30,72,36,42,24,0,0,0,0,0,36,114,102,282,114,60,108,144,264,180,108,126,156,66,132,108,156,78,66,84,108,54,36
UCM - AI Horizon Campaign Video - 10.12-10.16,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,1062,762,738,702,42,12,6,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCM - Podcast - S2 E4 - Deepseek -  5.9-6.9,Strategy Campaigns FY25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,72,66,90,60,78,90,84,84,96,60,72,138,126,120,114,90,90,108,144,60,138,162,132,102,162,162,144,156,120,132,132,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
