Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Business Incorporation Information and Resources,Custom intent segment: auto-created,10,255,3.92%,1.18%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Deep Learning,Custom intent segment: auto-created,10,325,3.08%,1.54%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Education › Highest Level of Educational Attainment › High School Graduate,Detailed demographics,9,"2,024",0.44%,4.15%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Employment › Industry › Healthcare Industry,Detailed demographics,9,849,1.06%,0.47%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Value of College Education,Custom intent segment: auto-created,9,548,1.64%,2.55%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Government Contract Opportunities,Custom intent segment: auto-created,9,"1,911",0.47%,0
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",University Education,Custom intent segment: auto-created,8,349,2.29%,3.15%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Employment › Industry › Healthcare Industry,Detailed demographics,8,274,2.92%,3.65%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Employment › Industry › Construction Industry,Detailed demographics,7,546,1.28%,3.30%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,7,343,2.04%,1.17%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",AI Chatbot,Custom intent segment: auto-created,7,306,2.29%,1.63%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,7,940,0.74%,20.85%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Universities,Custom intent segment: auto-created,7,564,1.24%,8.51%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Intelligent Robots,Custom intent segment: auto-created,7,270,2.59%,2.59%
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Research Universities,Custom intent segment: auto-created,7,426,1.64%,7.98%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,6,322,1.86%,0.93%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Universities,Custom intent segment: auto-created,6,742,0.81%,1.35%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",AI Chatbot,Custom intent segment: auto-created,6,287,2.09%,7.32%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",AI Chatbot,Custom intent segment: auto-created,6,"1,177",0.51%,2.89%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",University,Custom intent segment: auto-created,6,679,0.88%,7.07%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Entrepreneur News,Custom affinity segment: auto-created,6,"1,431",0.42%,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Engineering Information,Custom intent segment: auto-created,5,441,1.13%,1.13%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,5,320,1.56%,2.81%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Universities,Custom intent segment: auto-created,5,487,1.03%,3.08%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Education › Highest Level of Educational Attainment › Advanced Degree,Detailed demographics,5,345,1.45%,1.16%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Electric Cars,Custom intent segment: auto-created,5,361,1.39%,0.83%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Government Contract Opportunities,Custom intent segment: auto-created,5,246,2.03%,1.22%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",People not in audiences,People not in audience segments,5,"4,766",0.10%,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Education News,Custom intent segment: auto-created,4,599,0.67%,0.83%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",University Education,Custom intent segment: auto-created,4,374,1.07%,1.60%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Value of College Education,Custom intent segment: auto-created,4,290,1.38%,1.38%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",University Education,Custom intent segment: auto-created,4,241,1.66%,4.98%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,4,244,1.64%,3.28%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,4,244,1.64%,6.15%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,4,350,1.14%,22.29%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Business Guides,Custom intent segment: auto-created,4,239,1.67%,0.42%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Lifestyles & Hobbies › Business Professionals,Affinity segment,4,"1,308",0.31%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Technology,Affinity segment,4,"2,255",0.18%,0
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,3,960,0.31%,0.52%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Education,Custom intent segment: auto-created,3,170,1.76%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Intelligent Robots,Custom intent segment: auto-created,3,202,1.49%,0.99%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Drones,Custom intent segment: auto-created,3,94,3.19%,6.38%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Academic Journals,Custom intent segment: auto-created,3,102,2.94%,3.92%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,3,312,0.96%,0.64%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,3,139,2.16%,2.16%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Deep Learning,Custom intent segment: auto-created,3,9,33.33%,11.11%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,3,351,0.85%,18.80%
