Campaign,Campaign type,Campaign start date,Campaign end date,Audience segment,Audience segment type,Clicks,Impr.,CTR,TrueView view rate
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Design Engineering Services and Companies,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Engineering Firms,Custom intent segment: auto-created,0,12,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Machine Learning,Custom intent segment: auto-created,0,91,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,25,0.00%,0.00%
UCM - Podcast Episode 2 Bridges  - 4.8.2024 - 5.8.2024,Video,"Apr 8, 2024","May 8, 2024",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,69,0.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,0,31,0.00%,3.23%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Computer Programming,Custom intent segment: auto-created,0,20,0.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Higher Education Courses,Custom intent segment: auto-created,0,1,0.00%,0.00%
UCM - Podcast Episode 4 Drones - 5.9.2024 - 6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,21,0.00%,4.76%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Employment › Industry › Education Sector,Detailed demographics,0,37,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Bill Nye the Science Guy Videos,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Chemical Analysis,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Laboratory Equipment and Supplies,Custom intent segment: auto-created,0,10,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Laboratory Information Management Systems,Custom intent segment: auto-created,0,1,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Machine Learning,Custom intent segment: auto-created,0,51,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Research Journals,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 5 Automated Science - 5.9.2024-6.9.2024,Video,"May 9, 2024","Jun 9, 2024",Science Experiments,Custom intent segment: auto-created,0,27,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Business Growth Information,Custom intent segment: auto-created,0,27,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Business Growth Strategies,Custom intent segment: auto-created,0,25,0.00%,4.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Digital Strategy Services,Custom intent segment: auto-created,0,2,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Higher Education,Custom intent segment: auto-created,0,85,0.00%,2.35%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Higher Education Courses,Custom intent segment: auto-created,0,14,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Machine Learning,Custom intent segment: auto-created,0,18,0.00%,0.00%
UCM - Podcast Episode 6 Work - 5.23.2024 - 6.23.2024,Video,"May 23, 2024","Jun 23, 2024",Strategic Planning Tools,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Galaxy Books and Information,Custom intent segment: auto-created,0,83,0.00%,0.00%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",International Space Station,Custom intent segment: auto-created,0,29,0.00%,3.45%
UCM - Podcast Episode 7 Cosmos - 6.11.2024 - 7.11.2024,Video,"Jun 11, 2024","Jul 7, 2024",Rockets,Custom intent segment: auto-created,0,20,0.00%,0.00%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Deep Learning,Custom intent segment: auto-created,0,4,0.00%,0.00%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Disaster and Emergency Planning,Custom intent segment: auto-created,0,37,0.00%,2.70%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Higher Education,Custom intent segment: auto-created,0,56,0.00%,3.57%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Higher Education Courses,Custom intent segment: auto-created,0,9,0.00%,0.00%
UCM - Podcast Episode 8 Disaster Response - 6.27.2024 - 7.27.2024,Video,"Jun 27, 2024","Jul 27, 2024",Machine Learning,Custom intent segment: auto-created,0,10,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Education,In-market segment,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Education › Post-Secondary Education,In-market segment,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Agricultural College Programs,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Agricultural Services for Food Crops,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Agriculture Technology,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Carnegie Mellon University Information,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Farm Management Software,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Farming,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Information About Agriculture,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Intelligent Robots,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Dec 31, 2037",Robotics,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Agricultural Services for Food Crops,Custom intent segment: auto-created,0,3,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Agriculture Market News,Custom intent segment: auto-created,0,8,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Agriculture Technology,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Farm Management Software,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Farming,Custom intent segment: auto-created,0,18,0.00%,5.56%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Higher Education,Custom intent segment: auto-created,0,35,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Information About Agriculture,Custom intent segment: auto-created,0,15,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Machine Learning,Custom intent segment: auto-created,0,9,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,12,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Organic Food Production,Custom intent segment: auto-created,0,4,0.00%,0.00%
UCM - Podcast Episode 9 - Agriculture - 7.19-8.19,Video,"Jul 19, 2024","Aug 19, 2024",Universities,Custom intent segment: auto-created,0,108,0.00%,3.70%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Employment › Industry › Education Sector,Detailed demographics,0,38,0.00%,0.00%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Deep Learning,Custom intent segment: auto-created,0,6,0.00%,0.00%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Electric Vehicles,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Intelligent Robots,Custom intent segment: auto-created,0,12,0.00%,8.33%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Machine Learning,Custom intent segment: auto-created,0,13,0.00%,7.69%
UCM - Podcast Episode 10 - Autonomous Vehicles - 8.2-9.2,Video,"Aug 2, 2024","Sep 2, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,0,0,0
UCM - DOT Conference (Display) - 8.15-8.30,Display,"Aug 15, 2024","Aug 31, 2024",People not in audiences,People not in audience segments,0,422,0.00%,0
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Deep Learning,Custom intent segment: auto-created,0,23,0.00%,13.04%
UCM - DOT Conference (Vehicle Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,7,0.00%,0.00%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Deep Learning,Custom intent segment: auto-created,0,42,0.00%,0.00%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Higher Education,Custom intent segment: auto-created,0,41,0.00%,0.00%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,9,0.00%,0.00%
UCM - DOT Conference (Bridges Video) - 8.15-8.30,Video,"Aug 15, 2024","Aug 31, 2024",Universities,Custom intent segment: auto-created,0,114,0.00%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,0,51,0.00%,25.49%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Deep Learning,Custom intent segment: auto-created,0,3,0.00%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Higher Education,Custom intent segment: auto-created,0,12,0.00%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Intelligent Robots,Custom intent segment: auto-created,0,22,0.00%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Machine Learning,Custom intent segment: auto-created,0,2,0.00%,0.00%
UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26,Video,"Aug 26, 2024","Sep 26, 2024",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,9,0.00%,0.00%
UCM - Podcast Episode 12 - AI Care Part 2 - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Deep Learning,Custom intent segment: auto-created,0,14,0.00%,7.14%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Archaeology Information,Custom intent segment: auto-created,0,23,0.00%,0.00%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Archaeology Programs,Custom intent segment: auto-created,0,22,0.00%,13.64%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Deep Learning,Custom intent segment: auto-created,0,21,0.00%,14.29%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Machine Learning,Custom intent segment: auto-created,0,21,0.00%,4.76%
UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17,Video,"Sep 17, 2024","Oct 17, 2024",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,21,0.00%,0.00%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Deep Learning,Custom intent segment: auto-created,0,7,0.00%,14.29%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Higher Education,Custom intent segment: auto-created,0,17,0.00%,0.00%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Intelligent Robots,Custom intent segment: auto-created,0,46,0.00%,0.00%
UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4,Video,"Oct 4, 2024","Nov 4, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,3,0.00%,33.33%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Business Advice,Custom intent segment: auto-created,0,44,0.00%,4.55%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Business Opportunities,Custom intent segment: auto-created,0,18,0.00%,0.00%
UCM - AI Horizon Campaign Video - 10.12-10.16,Video,"Oct 12, 2024","Oct 16, 2024",Technology News and Trends,Custom intent segment: auto-created,0,5,0.00%,0.00%
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Travel › Business Travelers,Affinity segment,0,31,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Business Services › Business Technology › Enterprise Software › CRM Solutions,In-market segment,0,15,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Employment › Government & Public Sector Jobs,In-market segment,0,158,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Employment › IT & Technical Jobs,In-market segment,0,8,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Neural Network Software,Custom intent segment: auto-created,0,701,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Artificial Intelligence Programs and Information,Custom affinity segment: auto-created,0,201,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Business Opportunities,Custom affinity segment: auto-created,0,245,0.00%,0
UCM - AI Horizons Campaign -Display - 10.12-10.16,Display,"Oct 12, 2024","Oct 16, 2024",Business Start up Services,Custom affinity segment: auto-created,0,261,0.00%,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Education,In-market segment,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Business Services › Business Technology › Network Systems & Services › Hosted Data & Cloud Storage,In-market segment,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Education › Post-Secondary Education › Technology Education,In-market segment,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",AI Chatbot,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Carnegie Mellon University Information,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Deep Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Higher Education,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Intelligent Robots,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Machine Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Universities,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",University,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Value of College Education,Custom intent segment: auto-created,0,0,0,0
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Machine Learning,Custom intent segment: auto-created,0,44,0.00%,9.09%
UCM - Podcast Episode 15 - Birth of AI 2 - 10.10-11.10,Video,"Oct 10, 2024","Nov 10, 2024",Machine Learning Courses,Custom intent segment: auto-created,0,23,0.00%,17.39%
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Technology,Affinity segment,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Technology › Technophiles,Affinity segment,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Employment › Industry › Education Sector,Detailed demographics,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Employment › Industry › Technology Industry,Detailed demographics,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Deep Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Machine Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Neural Networks,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Video - 1.14.2025 - 1.31.2025,Video,"Jan 1, 2025","Jan 31, 2025",Robotics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Technology,Affinity segment,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Technology › Technophiles,Affinity segment,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Employment › Industry › Education Sector,Detailed demographics,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Employment › Industry › Technology Industry,Detailed demographics,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Deep Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Machine Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Neural Networks,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Lift - Video - 1.14-1.23,Video,"Jan 14, 2025","Jan 23, 2025",Robotics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Technology,Affinity segment,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Technology › Technophiles,Affinity segment,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Employment › Industry › Education Sector,Detailed demographics,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Employment › Industry › Technology Industry,Detailed demographics,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",AI Chatbot,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Carnegie Mellon University Information,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Deep Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Machine Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Neural Networks,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Robotics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Technology,Affinity segment,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Technology › Technophiles,Affinity segment,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Employment › Industry › Education Sector,Detailed demographics,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Employment › Industry › Technology Industry,Detailed demographics,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",AI Chatbot,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Artificial Intelligence Programs and Information,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Carnegie Mellon University Information,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Deep Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Machine Learning,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Machine Learning and Big Data Analytics,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Neural Networks,Custom intent segment: auto-created,0,0,0,0
UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Demand Gen,"Feb 1, 2025","Jun 30, 2025",Robotics,Custom intent segment: auto-created,0,0,0,0
