Month,Week,Campaign,Ad state,Ad type,Final URL,Beacon URLs,Headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Impr.,Currency code,Avg. CPC,TrueView views,TrueView view rate,Clicks,CTR,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
Apr-25,4/21/2025,UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,Enabled,Responsive search ad,https://www.cmu.edu,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,Pittsburgh's Top University,--,World-Class Programs,--,CMU Rankings,--,Innovative Research,--,Global Impact,--,Explore what's possible,--,Top Research Institute,--,World-Class University,--,Leading Innovation in AI,--,Groundbreaking Research,--,CMU Shaping the Future,--,--,--,--,--,--,--,Carnegie Mellon: Where bold research and innovation define the future of technology.,--,"Discover CMU—leading the world in AI, robotics, and transformative breakthroughs.",--,Join CMU’s legacy of excellence in pioneering research and world-changing discoveries.,--,"A global leader in arts, sciences, and research that shapes innovation and creativity.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,,"23,906",USD,0.32,0,0,"3,354",14.03%,0,0,0,0
Apr-25,4/28/2025,UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,Enabled,Responsive search ad,https://www.cmu.edu,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,Pittsburgh's Top University,--,World-Class Programs,--,CMU Rankings,--,Innovative Research,--,Global Impact,--,Explore what's possible,--,Top Research Institute,--,World-Class University,--,Leading Innovation in AI,--,Groundbreaking Research,--,CMU Shaping the Future,--,--,--,--,--,--,--,Carnegie Mellon: Where bold research and innovation define the future of technology.,--,"Discover CMU—leading the world in AI, robotics, and transformative breakthroughs.",--,Join CMU’s legacy of excellence in pioneering research and world-changing discoveries.,--,"A global leader in arts, sciences, and research that shapes innovation and creativity.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,--,--,,"9,484",USD,0.28,0,0,"1,487",15.68%,0,0,0,0
Apr-25,3/31/2025,UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Enabled,Demand Gen video ad,https://ai.cmu.edu/research-and-policy-impact,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,AI at CMU,--,AI Research at CMU,--,Learn more about AI at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Carnegie Mellon’s AI research is solving global challenges and redefining what’s possible.,--,AI Research At CMU: Building Systems That Matter,--,CMU is shaping the future of AI with cutting-edge research and real-world impact.,--,--,--,--,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Expert 30sec,--,--,--,,--,--,,"979,529",USD,0.11,"10,990",1.12%,"24,535",2.50%,42.45%,21.02%,15.54%,12.63%
Apr-25,4/7/2025,UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Enabled,Demand Gen video ad,https://ai.cmu.edu/research-and-policy-impact,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,AI at CMU,--,AI Research at CMU,--,Learn more about AI at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Carnegie Mellon’s AI research is solving global challenges and redefining what’s possible.,--,AI Research At CMU: Building Systems That Matter,--,CMU is shaping the future of AI with cutting-edge research and real-world impact.,--,--,--,--,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Expert 30sec,--,--,--,,--,--,,"1,162,547",USD,0.11,"24,256",2.09%,"28,876",2.48%,41.72%,19.86%,14.65%,12.05%
Apr-25,4/14/2025,UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Enabled,Demand Gen video ad,https://ai.cmu.edu/research-and-policy-impact,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,AI at CMU,--,AI Research at CMU,--,Learn more about AI at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Carnegie Mellon’s AI research is solving global challenges and redefining what’s possible.,--,AI Research At CMU: Building Systems That Matter,--,CMU is shaping the future of AI with cutting-edge research and real-world impact.,--,--,--,--,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Expert 30sec,--,--,--,,--,--,,"1,047,366",USD,0.11,"9,827",0.94%,"27,711",2.65%,41.27%,21.73%,16.73%,14.16%
Apr-25,4/21/2025,UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Enabled,Demand Gen video ad,https://ai.cmu.edu/research-and-policy-impact,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,AI at CMU,--,AI Research at CMU,--,Learn more about AI at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Carnegie Mellon’s AI research is solving global challenges and redefining what’s possible.,--,AI Research At CMU: Building Systems That Matter,--,CMU is shaping the future of AI with cutting-edge research and real-world impact.,--,--,--,--,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Expert 30sec,--,--,--,,--,--,,"972,884",USD,0.11,"10,922",1.12%,"27,901",2.87%,43.60%,24.47%,19.57%,16.99%
Apr-25,4/28/2025,UCM - Brand Awareness - Expert - Video - 2.1.2025-6.30.2025,Enabled,Demand Gen video ad,https://ai.cmu.edu/research-and-policy-impact,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,AI at CMU,--,AI Research at CMU,--,Learn more about AI at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Carnegie Mellon’s AI research is solving global challenges and redefining what’s possible.,--,AI Research At CMU: Building Systems That Matter,--,CMU is shaping the future of AI with cutting-edge research and real-world impact.,--,--,--,--,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Expert 30sec,--,--,--,,--,--,,"433,711",USD,0.11,"2,769",0.64%,"12,100",2.79%,11.36%,5.62%,4.18%,3.36%
Apr-25,3/31/2025,UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Enabled,Demand Gen video ad,https://www.cmu.edu/work-that-matters/,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,Work that matters at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious and passionate to deliver work that matters.,--,Transform your future at CMU—where ideas come to life through cutting-edge research.,--,"Shaping the future through innovation, creativity, and collaboration.",--,Leading the way in innovation and creativity.,--,Carnegie Mellon—where creativity and innovation create global impact.,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Anthem Video - 30, 15A, 15B",--,--,--,,--,--,,"1,123,321",USD,0.12,"9,056",0.81%,"24,593",2.19%,3.70%,1.78%,1.18%,0.89%
Apr-25,4/7/2025,UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Enabled,Demand Gen video ad,https://www.cmu.edu/work-that-matters/,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,Work that matters at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious and passionate to deliver work that matters.,--,Transform your future at CMU—where ideas come to life through cutting-edge research.,--,"Shaping the future through innovation, creativity, and collaboration.",--,Leading the way in innovation and creativity.,--,Carnegie Mellon—where creativity and innovation create global impact.,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Anthem Video - 30, 15A, 15B",--,--,--,,--,--,,"1,431,681",USD,0.12,"15,157",1.06%,"27,387",1.91%,3.79%,1.54%,0.84%,0.45%
Apr-25,4/14/2025,UCM - Brand Awareness - Anthem - Video - 2.1.2025 - 6.30.2025,Enabled,Demand Gen video ad,https://www.cmu.edu/work-that-matters/,--,--,--,--,--,--,--,--,Carnegie Mellon University,--,Work that matters at CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,CMU challenges the curious and passionate to deliver work that matters.,--,Transform your future at CMU—where ideas come to life through cutting-edge research.,--,"Shaping the future through innovation, creativity, and collaboration.",--,Leading the way in innovation and creativity.,--,Carnegie Mellon—where creativity and innovation create global impact.,--,--,1.56899E+11,--,CMU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"Anthem Video - 30, 15A, 15B",--,--,--,,--,--,,"1,522,494",USD,0.13,"16,886",1.11%,"26,462",1.74%,3.09%,1.23%,0.58%,0.22%
