Period,Name,THEME,CMU Due Date,Run Dates - Start,Run Dates - End,Run Dates,Status,Tactic/Category,Campaign Group,Budget,Spend,Vendor,Person,Notes,Call to Action,Creative Submitted,Landing Page (UTM),Quarter (For Charts)
Q4 - Apr-Jun 2025,Inc. - ROS Package - Year,"Oct | AI Innovations, Community, Elections",9/30/2024,10/1/2024,5/31/2025,2024-10-01 - 2025-05-31,COMPLETED,Display & Search,"Brand Awareness, AI",,,Inc.,Jimmy Zackal,,AI Website,https://drive.google.com/drive/folders/19z6YN0oBBdOZimieJcTDpnCICT-WBJTB?usp=sharing,Artificial Intelligence - AI at CMU - Carnegie Mellon University - https://ai.cmu.edu/?utm_source=inc&utm_medium=display&utm_campaign=wiwn,Q4
Q4 - Apr-Jun 2025,[Google] UCM - Branded Keyword Campaign - 11.11.2024  - 6.30.2025,CMU | General Brand,11/11/2024,11/12/2024,6/30/2025,2024-11-12 - 2025-06-30,COMPLETED,Display & Search,"Brand Awareness, Research Impact",,,Google,Jimmy Zackal,"PAUSED 12/20-1/14 (Details: 150/day, 11/11-12/31 -updated spend 03/24)",CMU Website,,Homepage - CMU - Carnegie Mellon University - https://cmu.edu,Q4
Q4 - Apr-Jun 2025,New York Times - 728x90 [Wordle],"Jan | Prof Development, EdTech, Online Learning",1/1/2025,1/15/2025,4/30/2025,2025-01-15 - 2025-04-30,COMPLETED,Sponsored Content,,,,NYT,Jimmy Zackal,UCM-25-139,CMU Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/1856319619/CMU_728x90_Wordle_B.jpg, https://carnegiemellon.monday.com/protected_static/2364823/resources/1856319626/CMU_728x90_Wordle_A.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1856319629/CMU_728x90_Wordle_B.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1856319622/CMU_728x90_Wordle_A.jpg",https://ai.cmu.edu/?utm_source=nyt&utm_medium=word&utm_campaign=wiwn,Q4
Q4 - Apr-Jun 2025,New York Times - Digital,CMU | General Brand,1/15/2025,1/30/2025,5/15/2025,2025-01-30 - 2025-05-15,COMPLETED,Sponsored Content,Brand Awareness,,,NYT,Jimmy Zackal,UCM-25-139,CMU Website,https://carnegiemellon.monday.com/protected_static/2364823/resources/1888386148/Carnegie%20Mellon%20University_Build%20Distinctive%20Brand%20&%20Improve%20Perception%20Media%20Plan_12.16.24.pdf,,Q4
Q4 - Apr-Jun 2025,New York Times - Sponsored Content (Ad Post),CMU | General Brand,1/15/2025,1/30/2025,5/15/2025,2025-01-30 - 2025-05-15,COMPLETED,Sponsored Content,Brand Awareness,,,NYT,Jimmy Zackal,UCM-25-139,CMU News,https://carnegiemellon.monday.com/protected_static/2364823/resources/1888386652/Carnegie%20Mellon%20University_Build%20Distinctive%20Brand%20&%20Improve%20Perception%20Media%20Plan_12.16.24.pdf,https://ai.cmu.edu/research-and-policy-impact?utm_source=nyt&utm_medium=adpost&utm_campaign=aihealth,Q4
Q4 - Apr-Jun 2025,New York Times - Audio,CMU | General Brand,1/15/2025,1/30/2025,5/15/2025,2025-01-30 - 2025-05-15,COMPLETED,Sponsored Content,Brand Awareness,,,NYT,Jimmy Zackal,,CMU Website,,,Q4
Q4 - Apr-Jun 2025,Inc. - ROS Package - Spring,CMU | General Brand,1/24/2025,2/1/2025,5/31/2025,2025-02-01 - 2025-05-31,COMPLETED,Display & Search,Research Impact,,,Inc.,Jimmy Zackal,,CMU Website,,,Q4
Q4 - Apr-Jun 2025,[Google] UCM - Brand Awareness - Anthem Video - 2.1.2025 - 6.30.2025,CMU | General Brand,2/1/2025,2/1/2025,6/30/2025,2025-02-01 - 2025-06-30,COMPLETED,Video,"Brand Awareness, Research Impact",,,Google,Jimmy Zackal,updated spend 04/08,CMU Website,,Homepage - CMU - Carnegie Mellon University - https://cmu.edu,Q4
Q4 - Apr-Jun 2025,[Google] UCM - Brand Awareness - Expert Video - 2.1.2025 - 6.30.2025,CMU | General Brand,2/1/2025,2/1/2025,6/30/2025,2025-02-01 - 2025-06-30,COMPLETED,Video,"AI, Research Impact",,,Google,Jimmy Zackal,updated spend 04/08,AI Website,,https://ai.cmu.edu/research-and-policy-impact,Q4
Q4 - Apr-Jun 2025,[LinkedIn] UCM - LinkedIn Anthem Video - 2.6.2025 - 6.30.2025,CMU | General Brand,2/6/2025,2/6/2025,6/30/2025,2025-02-06 - 2025-06-30,COMPLETED,Social,"Brand Awareness, Research Impact",,,LinkedIn,Jimmy Zackal,Restarted 6.16. PAUSED 6.2 due to gabby pcard ending; PAUSED 3.25 DUE TO P-CARD LIMIT,CMU Website,"https://carnegiemellon.monday.com/protected_static/2364823/resources/1943776163/CMU%20Anthem_30sec.mp4, https://carnegiemellon.monday.com/protected_static/2364823/resources/1943839512/Screenshot%202025-02-06%20at%203.23.55%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1943839554/Screenshot%202025-02-06%20at%203.24.08%E2%80%AFPM.png, https://carnegiemellon.monday.com/protected_static/2364823/resources/1943839563/Screenshot%202025-02-06%20at%203.22.56%E2%80%AFPM.png",Homepage - CMU - Carnegie Mellon University - https://www.cmu.edu/?utm_source=linkedin&utm_medium=video&utm_campaign=anthem&utm_content=1x1,Q4
