Start Date (in UTC),Account Name,Currency,Campaign Group ID,Campaign Group Name,Campaign Group Status,Campaign Group Start Date,Campaign Group End Date,Campaign ID,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Campaign Start Date,Campaign End Date,Creative Name,Ad ID,Creative Status,Ad Introduction Text,Ad Headline,Ad Line,Click URL,Sponsored Update Type,DSC Name,Video Length (in Seconds),Carousel Card,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Card Impressions,Card Clicks,Card Click Through Rate,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Video Plays,Video Views,Video View Rate,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Completions,Video Completion Rate,Total Video Watch Time (in Seconds),Average Video Watch Time (in Seconds),Full Screen Plays,eCPV,Viral Video Plays,Viral Video Views,Viral Video Views at 25%,Viral Video Views at 50%,Viral Video Views at 75%,Viral Video Completions,Viral Video Completion Rate,Viral Video Full Screen Plays,Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Clicks to Landing Page,Clicks to LinkedIn Page,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Member Follows,Clicks to Member Profile,Qualified Leads,Cost Per Qualified Lead,Average Dwell Time (in Seconds),Subscriptions,Viral Subscriptions
12/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354730584,Video - Expert,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Melanie Gainey,575907664,Active,"At Carnegie Mellon, 'What if' drives innovation—advancing AI, design & tech to shape a better future. Explore how you can be part of what's next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Melanie Gainey,30,,0,0,0%,0,0,,,,0,0,0,0,0,0,0,0%,1,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0%,0,0,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
2/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 1x1,575913614,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 1x1,30,,760169,216,0.03%,2.12,7.45,,,,2,0,0,0,33,35,217,0.03%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,814058,419919,55.24%,477146,407487,353735,300681,39.55%,0,0,21,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,177,1,0,0%,0,0,0,0,0,18.38575055,0,0
3/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 1x1,575913614,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 1x1,30,,86315,210,0.24%,13.89,5.71,,,,14,0,0,0,155,169,227,0.26%,7,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,95821,21588,25.01%,14914,12190,10564,8710,10.09%,0,0,34,0.06,7,2,0,0,0,0,0%,0,0,0,0,0,0,0,15,9,0,0%,0,0,0,0,0,2.771948224,0,0
4/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 1x1,575913614,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 1x1,30,,91130,304,0.33%,15.26,4.58,,,,17,0,0,0,256,273,337,0.37%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,111567,18902,20.74%,3468,1433,978,763,0.84%,0,0,31,0.07,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,11,22,0,0%,0,0,0,0,0,3.208346703,0,0
5/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 1x1,575913614,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 1x1,30,,95491,316,0.33%,15.56,4.7,,,,18,0,0,0,248,266,349,0.37%,1,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,110884,17329,18.15%,3024,1159,753,584,0.61%,0,0,37,0.09,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,27,19,0,0%,0,0,0,0,0,2.710090909,0,0
6/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 1x1,575913614,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 1x1,30,,9590,19,0.20%,17.87,9.02,,,,1,0,0,0,15,16,20,0.21%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,10776,1668,17.39%,278,118,68,48,0.50%,0,0,3,0.1,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,1,0,0,0%,0,0,0,0,0,2.576869933,0,0
2/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 16x9,575922504,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 16x9,30,,331590,91,0.03%,2.56,9.31,,,,0,0,0,0,21,21,92,0.03%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,351387,188382,56.81%,206404,176744,152250,125305,37.79%,0,0,57,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,65,3,0,0%,0,0,0,0,0,17.16882336,0,0
3/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 16x9,575922504,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 16x9,30,,63087,123,0.20%,15.36,7.88,,,,3,0,0,0,109,112,138,0.22%,3,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,69602,15724,24.92%,5624,3477,2774,2221,3.52%,0,0,12,0.06,3,0,0,0,0,0,0%,0,0,0,0,0,0,0,8,8,0,0%,0,0,0,0,0,2.836089194,0,0
4/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 16x9,575922504,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 16x9,30,,43169,102,0.24%,15.27,6.46,,,,7,0,0,0,76,83,110,0.26%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,46603,9067,21.00%,1630,557,321,225,0.52%,0,0,9,0.07,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,7,11,0,0%,0,0,0,0,0,2.770564818,0,0
5/1/25,Carnegie Mellon University,USD,730335114,UCM - LinkedIn - Video - 2.6.2025 - 6.30.2025,Paused,2/6/25,6/30/25,354694744,Video - Anthem,Brand awareness,Sponsored Update,Completed,CPM,2/6/25,6/30/25,Anthem 16x9,575922504,Active,"Home to world-class faculty, cutting-edge research, and bold global thinkers, Carnegie Mellon University shapes the future. Discover where What If becomes What’s Next.",Where What If Becomes What's Next,,https://www.cmu.edu/work-that-matters/?utm_campaign=research-impact&utm_source=li&utm_medium=video&utm_content=general_cmu&utm_term=0,DSC,Anthem 16x9,30,,76724,201,0.26%,14.75,5.63,,,,13,0,0,0,142,155,213,0.28%,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,85143,16636,21.68%,2888,960,573,422,0.55%,0,0,21,0.07,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,20,17,0,0%,0,0,0,0,0,2.813825952,0,0
