Campaign status,Campaign,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,Conversions,Impr.,TrueView views,CTR,Engagement rate,Engagements,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,YouTube public views,Earned subscribers,Earned views,Gmail clicks to website,Avg. impr. freq. / user,Unique users,Optimization score,Avg. impr. freq. / user (7 days),Bid strategy type,Viewable CTR,Viewable impr.,Clicks,Avg. CPC,Cost / conv.
Removed,UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"23,374.78","607,656","64,441",4.05%,20.09%,"119,784",16.61%,0.79%,1.17%,50.60%,19.03%,13.56%,10.61%,0,0,0,0,,, --,,Maximize Conversions, --,"457,421","24,626",0.08,0.09
Paused,UCM - Podcast Episode 13 - Dinosaurs - 9.17 - 10.17 #2, --,Campaign Total,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Paused,UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4 #2, --,Campaign Total,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Paused,UCM - Podcast Episode 11 - AI Care Part 1 - 8.26-9.26 #2, --,Campaign Total,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Removed,UCM - Podcast Episode 9 - Agriculture - 7.19-8.19, --,Daily,USD,Removed,campaign removed; most ads under review,Video,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Removed,UCM - Brand Lift - Video - 1.14-1.23, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"93,816.28","3,273,615","81,127",3.12%,6.20%,"199,635",27.02%,0.10%,1.37%,20.74%,11.67%,8.78%,7.22%,0,0,0,0,,, --,,Maximize Conversions, --,"1,277,067","102,007",0.1,0.11
Paused,UCM - Podcast - S2 E4 - Deepseek -  5.9-6.9, --,Campaign Total,USD,Paused,campaign paused; campaign ended; unknown,Demand Gen,"28,070.78","2,268,078",404,1.76%,1.79%,"40,624",8.97%,0.01%,0.98%,1.94%,0.84%,0.52%,0.30%,0,0,0,0,,, --,,Maximize clicks, --,"1,111,168","39,987",0.12,0.18
Removed,UCM - DOT Conference (Bridges Video) - 8.15-8.30, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"11,460.00","634,377","8,331",1.90%,3.26%,"20,301",21.34%,0.37%,1.51%,21.63%,14.29%,11.87%,10.14%,0,0,0,0,,, --,,Maximize Conversions, --,"203,607","12,062",0.1,0.11
Paused,UCM - Podcast - S2 E3 - What’s Next for Theater Arts - 4.29-5.29, --,Campaign Total,USD,Paused,campaign paused; campaign ended; unknown,Demand Gen,"26,625.23","1,413,517","111,446",3.41%,19.26%,"272,307",9.99%,0.49%,1.08%,31.48%,12.69%,8.57%,6.61%,0,0,0,0,,, --,,Maximize clicks, --,"1,218,929","48,224",0.1,0.19
Removed,UCM - Podcast Episode 14 - Birth of AI Part 1 - 10.4-11.4, --,Campaign Total,USD,Removed,campaign removed; campaign ended; unknown,Video,"24,046.35","472,581","79,017",5.30%,31.63%,"145,415",21.33%,8.40%,1.21%,39.89%,21.38%,15.69%,12.50%,0,0,0,0,,, --,,Maximize Conversions, --,"355,737","25,030",0.08,0.08
Paused,UCM - Brand Lift - Video - 1.14-1.23 #2, --,Campaign Total,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Removed,UCM - Podcast Episode 15 - Birth of AI Part 1 - 10.10-11.10, --,Campaign Total,USD,Removed,campaign removed; campaign ended; most ads under review,Video,0,0,0, --, --,0, --, --, --, --, --, --, --,0,0,0,0,,, --,,Maximize Conversions, --,0,0,0,0
Total: Campaigns, --, --, --,USD, --,, --,"1,796,540.03","72,982,061","1,844,171",2.77%,6.74%,"4,653,707",19.33%,0.08%,1.21%,21.32%,10.45%,7.64%,6.10%,0,0,0,0,,, --,, --,0.16%,"30,079,780","2,023,210",0.14,0.16
Total: Account,,,,USD,,,,"2,130,076.88","92,961,897","2,098,106",2.64%,7.00%,"5,314,151",18.30%,0.10%,1.21%,23.02%,11.25%,8.20%,6.56%,0,0,0,0,,,,,,2.43%,"43,924,571","2,455,077",0.14,0.16
Total: Search,,,,USD,,,Search,"123,474.81","2,126,177",0,6.35%, --,0, --, --, --,0.00%,0.00%,0.00%,0.00%,0,0,0,0,,,,,, --,"733,348","134,992",0.4,0.44
Total: Demand Gen,,,,USD,,,Demand Gen,"1,335,917.68","60,966,859","1,239,493",2.57%,6.01%,"3,652,299",16.74%,0.06%,1.19%,18.37%,9.04%,6.43%,5.06%,0,0,0,0,,,,,, --,"25,117,839","1,565,138",0.13,0.16
Total: Display,,,,USD,,,Display,"218,478.25","14,428,739",209,1.85%,65.54%,213,64.31%, --, --,58.59%,40.58%,31.36%,25.82%,0,0,0,0,,,,,,2.43%,"10,891,907","266,936",0.14,0.17
Total: Video,,,,USD,,,Video,"452,206.14","15,440,122","858,404",3.16%,10.99%,"1,661,639",21.00%,0.31%,1.24%,31.87%,15.10%,11.31%,9.20%,0,0,0,0,,,,,, --,"7,181,477","488,011",0.11,0.11
